CATEGORY	NAME	TAXID
E	Populus alba	43335
E	Panax ginseng	4054
E	Jatropha curcas	180498
E	Medicago truncatula	3880
E	Prunus persica	3760
E	Anopheles sinensis	74873
E	Striga asiatica	4170
E	Aphis gossypii	80765
E	Arabidopsis halleri	81970
E	Arabidopsis lyrata subsp. lyrata	81972
E	Prunus dulcis	3755
E	Gossypium barbadense	3634
E	Dorcoceras hygrometricum	472368
E	Gossypium hirsutum	3635
E	Andrographis paniculata	175694
E	Rosa chinensis	74649
E	Anoplophora glabripennis	217634
E	Herrania umbratica	108875
E	Eucalyptus grandis	71139
E	Acer yangbiense	1000413
E	Camelina sativa	90675
E	Hibiscus syriacus	106335
E	Pueraria montana var. lobata	3893
E	Pyrus x bretschneideri	225117
E	Prosopis alba	207710
E	Sesamum indicum	4182
E	Oryza minuta	63629
E	Carica papaya	3649
E	Theobroma cacao	3641
E	Phaseolus vulgaris	3885
E	Eragrostis curvula	38414
E	Ananas comosus	4615
E	Dufourea novaeangliae	178035
E	Folsomia candida	158441
E	Phoenix dactylifera	42345
E	Osmanthus fragrans	93977
E	Aquilegia coerulea	218851
E	Brassica oleracea var. oleracea	109376
E	Ziziphus jujuba	326968
E	Spatholobus suberectus	455371
E	Arachis duranensis	130453
E	Cucurbita maxima	3661
E	Arachis ipaensis	130454
E	Cucurbita moschata	3662
E	Capsicum annuum	4072
E	Prunus avium	42229
E	Brassica cretica	69181
E	Arabis alpina	50452
E	Citrus japonica	76966
E	Cephalotus follicularis	3775
E	Cucumis melo	3656
E	Cucumis melo var. makuwa	1194695
E	Lissorhoptrus oryzophilus	308863
E	Cucumis sativus	3659
E	Momordica charantia	3673
E	Gossypium mustelinum	34275
E	Solanum lycopersicum	4081
E	Cimex lectularius	79782
E	Solanum chilense	4083
E	Ensete ventricosum	4639
E	Rhodiola rosea	203015
E	Capsella rubella	81985
E	Gossypium tomentosum	34277
E	Trachymyrmex cornetzi	471704
E	Gossypium darwinii	34276
E	Malus baccata	106549
E	Cucurbita pepo subsp. pepo	3664
E	Hordeum vulgare	4513
E	Temnothorax longispinosus	300112
E	Nicotiana sylvestris	4096
E	Rhodamnia argentea	178133
E	Nicotiana tabacum	4097
E	Dichanthelium oligosanthes	888268
E	Nicotiana tomentosiformis	4098
E	Oryza sativa	4530
E	Spinacia oleracea	3562
E	Handroanthus impetiginosus	429701
E	Morus notabilis	981085
E	Beta vulgaris subsp. vulgaris	3555
E	Solenopsis invicta	13686
E	Coffea arabica	13443
E	Nicrophorus vespilloides	110193
E	Diuraphis noxia	143948
E	Nymphaea colorata	210225
E	Panicum miliaceum	4540
E	Populus trichocarpa	3694
E	Populus trichocarpa x Populus deltoides	3695
E	Picea glauca	3330
E	Dianthus caryophyllus	3570
E	Daucus carota subsp. sativus	79200
E	Sipha flava	143950
E	Carpinus fangiana	176857
E	Oryza officinalis	4535
E	Oryza sativa Indica Group	39946
E	Oryza sativa f. spontanea	4536
E	Citrus clementina	85681
E	Oryza punctata	4537
E	Oryza sativa Japonica Group	39947
E	Phyllostachys prominens	591954
E	Salvia splendens	180675
E	Blattella germanica	6973
E	Nelumbo nucifera	4432
E	Dactylopius coccus	765876
E	Cinara cedri	506608
E	Aethina tumida	116153
E	Polygala tenuifolia	355332
E	Nylanderia fulva	613905
E	Drosophila serrata	7274
E	Corchorus capsularis	210143
E	Camellia sinensis	4442
E	Aedes aegypti	7159
E	Bemisia tabaci	7038
E	Chenopodium quinoa	63459
E	Dendroctonus ponderosae	77166
E	Papaver somniferum	3469
E	Trifolium pratense	57577
E	Setaria italica	4555
E	Acyrthosiphon pisum	7029
E	Corchorus olitorius	93759
E	Setaria viridis	4556
E	Sorghum bicolor	4558
E	Diaphorina citri	121845
E	Cephus cinctus	211228
E	Trifolium subterraneum	3900
E	Trachymyrmex zeteki	64791
E	Wasmannia auropunctata	64793
E	Triticum urartu	4572
E	Prunus yedoensis var. nudiflora	2094558
E	Camponotus floridanus	104421
E	Sitophilus oryzae	7048
E	Cannabis sativa	3483
E	Aedes albopictus	7160
E	Diabrotica virgifera virgifera	50390
E	Vigna angularis	3914
E	Coffea canephora	49390
E	Mangifera indica	29780
E	Vigna radiata var. radiata	3916
E	Juglans regia	51240
E	Vigna unguiculata	3917
E	Parasponia andersonii	3476
E	Asparagus officinalis	4686
E	Triticum turgidum subsp. durum	4567
E	Oryctes borbonicus	1629725
E	Nyssa sinensis	561372
E	Phyllostachys edulis	38705
E	Culex quinquefasciatus	7176
E	Photinus pyralis	7054
E	Syzygium oleosum	219896
E	Actinidia chinensis var. chinensis	1590841
E	Aegilops tauschii subsp. tauschii	169297
E	Cricetulus griseus	10029
E	Citrus sinensis	2711
E	Cynara cardunculus var. scolymus	59895
E	Zea mays	4577
E	Mucuna pruriens	157652
E	Zootermopsis nevadensis	136037
E	Helianthus annuus	4232
E	Solanum tuberosum	4113
E	Neodiprion lecontei	441921
E	Quercus suber	58331
E	Habropoda laboriosa	597456
E	Vitis vinifera	29760
E	Citrus unshiu	55188
E	Abrus precatorius	3816
E	Arachis hypogaea	3818
E	Brachypodium distachyon	15368
E	Rhopalosiphum maidis	43146
E	Ipomoea batatas	4120
E	Gossypium australe	47621
E	Fragaria vesca subsp. vesca	101020
E	Salix brachista	2182728
E	Coffea eugenioides	49369
E	Pyrus ussuriensis x Pyrus communis	2448454
E	Tribolium castaneum	7070
E	Scoparia dulcis	107240
E	Phyllostachys glauca	387745
E	Cicer arietinum	3827
E	Onthophagus taurus	166361
E	Brassica napus	3708
E	Ipomoea triloba	35885
E	Pistacia vera	55513
E	Cinnamomum micranthum f. kanehirae	337451
E	Ipomoea nil	35883
E	Melanaphis sacchari	742174
E	Lactuca sativa	4236
E	Elaeis guineensis	51953
E	Cajanus cajan	3821
E	Prunus mume	102107
E	Arabidopsis thaliana	3702
E	Camellia sinensis var. sinensis	542762
E	Durio zibethinus	66656
E	Myzus persicae	13164
E	Morella rubra	262757
E	Panicum hallii	206008
E	Tarenaya hassleriana	28532
E	Harpegnathos saltator	610380
E	Linum usitatissimum	4006
E	Ctenocephalides felis	7515
E	Brassica rapa	3711
E	Macleaya cordata	56857
E	Brassica oleracea	3712
E	Clitoria ternatea	43366
E	Quercus lobata	97700
E	Eutrema salsugineum	72664
E	Formica exsecta	72781
E	Arabidopsis lyrata subsp. petraea	59691
E	Glycine max	3847
E	Raphanus sativus	3726
E	Glycine soja	3848
E	Withania somnifera	126910
E	Citrus hanaju	481547
E	Glycyrrhiza uralensis	74613
E	Lycium barbarum	112863
E	Populus euphratica	75702
E	Erythranthe guttata	4155
E	Siraitia grosvenorii	190515
E	Hevea brasiliensis	3981
E	Vigna angularis var. angularis	157739
E	Hordeum vulgare subsp. vulgare	112509
E	Gossypium arboreum	29729
E	Panicum hallii var. hallii	1504633
E	Nicotiana attenuata	49451
E	Musa acuminata subsp. malaccensis	214687
E	Leptinotarsa decemlineata	7539
E	Mikania micrantha	192012
E	Laodelphax striatellus	195883
E	Nilaparvata lugens	108931
E	Cryptotermes secundus	105785
E	Trema orientale	63057
E	Lupinus angustifolius	3871
E	Malus domestica	3750
E	Athalia rosae	37344
E	Solanum pennellii	28526
E	Punica granatum	22663
E	Stevia rebaudiana	55670
E	Agrilus planipennis	224129
E	Barbarea vulgaris subsp. arcuata	767412
E	Gossypium raimondii	29730
E	Manihot esculenta	3983
E	Arabis nemorensis	586526
E	Artemisia annua	35608
E	Ricinus communis	3988
E	Olea europaea var. sylvestris	158386
