ALTERNATIVEACC	GI	PRIMARYACC	TAXID
AAA26780.1	153347	WP_063853740.1	1916
AAB36652.1	1685003	NP_001312061.1	4097
AAB36653.1	1685005	NP_001313106.1	4097
AAD17392.1	4335714	NP_179150.3	3702
AAD17393.1	4335715	AAD17393.1	3702
AAK28303.1	13492674	Q9AT54.1	4097
AAK28304.1	13492676	AAK28304.1	4097
AAK59668.1	14334982	NP_567954.1	3702
AAL32831.1	17065354	NP_567953.1	3702
AAL57652.1	18086385	At_73B1_S1	3702
AAL90934.1	19699136	At_73B1_S1	3702
AAM47999.1	21387191	NP_567953.1	3702
AAM91525.1	22135886	AAM91525.1	3702
AAN13230.1	23297046	NP_567954.1	3702
AAN31894.1	23397224	At_73B1_S1	3702
AAP37678.1	30725312	NP_179151.2	3702
AAR01231.1	37703732	NP_567954.1	3702
AAS55083.1	45155264	AAS55083.1	265354
AAS94329.1	46430995	AAS94329.1	161934
AAU94428.1	53828637	AAM91525.1	3702
ABA28305.2	98991152	WP_003972830.1	1916
ABA42118.2	98991148	2IYA_A	1890
ABA42119.2	98991150	OleD_S5	1890
ABB92749.1	82880420	Q2V6J9.1	3747
ABG96617.1	110821333	ABG96617.1	101510
ACJ72160.1	216296854	ACJ72160.1	3893
ACO44747.1	226316457	ACO44747.1	126910
ACU98264.1	256587131	ACU98264.1	471857
ACZ90875.1	270512597	WP_012894605.1	479432
ADH69797.1	296847777	WP_013155404.1	446468
ADL46688.1	302570486	WP_013286314.1	644283
ADO33118.1	308513350	ADO33118.1	396367
ADU10709.1	315412592	WP_013476804.1	648999
ADV71361.1	319759250	ADV71361.1	3893
ADV71369.1	319759266	ADV71369.1	3893
ADW02613.1	320007763	WP_014153288.1	591167
ADW06494.1	320011644	WP_014157103.1	591167
AEC06405.1	330251311	NP_179150.3	3702
AEC06406.1	330251312	NP_001189528.1	3702
AEC06408.1	330251314	NP_179151.2	3702
AEC06409.1	330251315	NP_001189529.1	3702
AEE86327.1	332660927	NP_567953.1	3702
AEE86328.1	332660928	NP_567954.1	3702
AEE86330.1	332660930	At_73B1_S1	3702
AEM87393.1	344041668	AEM87393.1	653045
AEM88164.1	344042439	AEM88164.1	653045
AEN09788.1	344315100	WP_014045774.1	862751
AET03252.1	355522798	XP_003628776.1	3880
AEW97830.1	365809614	WP_014146162.1	1003195
AEY92438.1	374103554	WP_014675723.1	1133850
AFE05022.1	380729020	WP_014395940.1	1144275
AFJ52929.1	387135096	AFJ52929.1	4006
AFJ52930.1	387135098	AFJ52930.1	4006
AFJ52945.1	387135128	AFJ52945.1	4006
AFJ52946.1	387135130	AFJ52946.1	4006
AFJ52947.1	387135132	AFJ52947.1	4006
AFK37676.1	388499220	AFK37676.1	34305
AFK79034.1	388827903	AFK79034.1	52451
AFK79039.1	388827913	AFK79039.1	52451
AGC09509.1	440497847	AGC09509.1	579932
AGC47491.1	441490796	WP_015351745.1	1278073
AGF66593.1	451796544	WP_014675723.1	1203460
AGI90720.1	477546767	WP_003947979.1	1886
AGI99472.1	478434366	AGI99472.1	1035052
AGJ54045.1	478745465	WP_015576564.1	1265601
AGJ58105.1	478749525	WP_015579286.1	1265601
AGK80937.1	485097754	AGK80937.1	1303692
AGP56931.1	521358614	WP_020870387.1	1343740
AGP57684.1	521359367	AGP57684.1	1343740
AGS72523.1	529200777	WP_020942933.1	1214242
AGT90825.1	532220792	WP_020968563.1	1136179
AGU14084.1	533214684	XP_004505252.1	3827
AGZ44932.1	556037685	AGZ44932.1	1246995
AHH99998.1	578011740	WP_025359877.1	1449976
AHK28576.1	589063717	AHK28576.1	543736
AHL38662.1	591401870	At_73B1_S1	3702
AHL38663.1	591401872	AHL38663.1	3702
AHL38664.1	591401874	NP_567953.1	3702
AHL38853.1	591402252	NP_179151.2	3702
AHL38854.1	591402254	NP_179150.3	3702
AHV78225.1	604142061	AHV78225.1	28502
AIA06555.1	636569870	WP_016576796.1	68570
AID60124.1	658384709	AID60124.1	3708
AID60125.1	658384710	AID60125.1	3708
AID60126.1	658384711	AID60126.1	3708
AID60167.1	658384753	AID60124.1	3708
AID60168.1	658384754	AID60125.1	3708
AID60169.1	658384755	AID60126.1	3708
AII06234.1	669179773	AII06234.1	37919
AIJ12552.1	672368670	WP_003972830.1	457428
AIJ20166.1	672354288	AIJ20166.1	1068978
AIS01178.1	692324974	WP_052413889.1	1907
AIS71990.1	694190091	AIS71990.1	151230
AIV38599.1	703593774	WP_061446835.1	1561022
AJC55312.1	744773171	WP_039631785.1	1262452
AJC56318.1	744774177	AJC56318.1	1262452
AJE44247.1	748247514	WP_043450174.1	40318
AJE81134.1	749175388	WP_040246518.1	1888
AJP04418.1	758859262	WP_044385111.1	477245
AJR20274.1	763914715	AJR20274.1	203015
AJT64755.1	768314974	WP_046926281.1	47763
AJY59053.1	778204071	AJY59053.1	29722
AKA06476.1	785760688	WP_016576796.1	1434306
AKA44594.1	788945706	AKA44594.1	4054
AKD96203.1	808768139	WP_046378007.1	1833
AKF86775.1	817717574	AKF86775.1	1334629
AKG46056.1	818447912	WP_046725031.1	408015
AKN72238.1	852464443	AKN72238.1	1577075
AKZ58854.1	917652185	WP_053138975.1	278992
AKZ60438.1	917653769	CAI78437.1	278992
ALC19982.1	924533800	WP_005310295.1	38300
ALC31749.1	924545747	WP_053562692.1	1649184
ALM41774.1	947256792	WP_067411936.1	206662
ALO06206.1	952467868	ALO06206.1	54571
ALO19886.1	952950736	ALO19886.1	4442
ALO96971.1	953785451	WP_058082433.1	264445
ALU72815.1	970867406	WP_029254559.1	1289591
