Pt_UGT1_S1	Chain A, Complex between a UDP-glucosyltransferase from Polygonum tinctorium capable of glucosylating indoxyl and indoxyl sulfate
Pt_UGT1_S1	Chain B, Complex between a UDP-glucosyltransferase from Polygonum tinctorium capable of glucosylating indoxyl and indoxyl sulfate
BBB06426.1	indican synthase
Fe_72B19_S65	UDP-glycose: glycosyltransferase UGT72B19
KAB1219588.1	Hydroquinone glucosyltransferase
OMO64333.1	UDP-glucuronosyl/UDP-glucosyltransferase
XP_031262984.1	hydroquinone glucosyltransferase-like
XP_011037856.1	PREDICTED: hydroquinone glucosyltransferase-like
XP_009628747.1	PREDICTED: hydroquinone glucosyltransferase-like
XP_009785688.1	PREDICTED: hydroquinone glucosyltransferase-like
XP_021653799.1	hydroquinone glucosyltransferase-like
Nt_UGT1_S2	hydroquinone glucosyltransferase-like
Nt_UGT1_S2	UDP-glucose:glucosyltransferase
TKS14440.1	hydroquinone glucosyltransferase-like
UGT72B10_S111	UDP-glucose:glucosyltransferase
XP_002320190.1	hydroquinone glucosyltransferase
XP_002320190.1	hypothetical protein POPTR_014G096100
XP_016538197.1	PREDICTED: hydroquinone glucosyltransferase-like
XP_022757519.1	hydroquinone glucosyltransferase-like
XP_023902337.1	hydroquinone glucosyltransferase-like
XP_021688196.1	hydroquinone glucosyltransferase-like
XP_012083243.1	hydroquinone glucosyltransferase
XP_012083243.1	hypothetical protein JCGZ_14282
XP_015167719.1	PREDICTED: hydroquinone glucosyltransferase-like
PSS26289.1	Hydroquinone glucosyltransferase
XP_010266460.1	PREDICTED: hydroquinone glucosyltransferase
EOX95757.1	UDP-Glycosyltransferase superfamily protein
XP_021612299.1	hydroquinone glucosyltransferase-like
XP_021612299.1	hypothetical protein MANES_05G025000
XP_019230479.1	PREDICTED: hydroquinone glucosyltransferase-like
XP_019230479.1	udp-glycosyltransferase 72b1
XP_019230479.1	UDP-glycosyltransferase g23176
XP_015062343.1	hydroquinone glucosyltransferase
XP_007051600.2	PREDICTED: hydroquinone glucosyltransferase
XP_030966425.1	hydroquinone glucosyltransferase
Sl_GT5_S92	hydroquinone glucosyltransferase
Sl_GT5_S92	glycosyltransferase
TMW84173.1	hypothetical protein EJD97_025682
XP_021280942.1	hydroquinone glucosyltransferase
XP_021612048.1	hydroquinone glucosyltransferase-like
XP_021612048.1	hypothetical protein MANES_01G247800
XP_028085525.1	hydroquinone glucosyltransferase-like
XP_028085525.1	hypothetical protein TEA_004645
XP_022733923.1	hydroquinone glucosyltransferase-like
AIE12483.1	UGT6
XP_006444877.1	hydroquinone glucosyltransferase
XP_006444877.1	hypothetical protein CICLE_v10019927mg
XP_006444877.1	hypothetical protein CUMW_133640
XP_027108518.1	hydroquinone glucosyltransferase-like
XP_027108518.1	unnamed protein product
Q9AR73.1	RecName: Full=Hydroquinone glucosyltransferase; AltName: Full=Arbutin synthase
Q9AR73.1	arbutin synthase
XP_006491243.1	hydroquinone glucosyltransferase
XP_006491243.1	hypothetical protein CISIN_1g045267mg
XP_021850962.1	hydroquinone glucosyltransferase
XP_010427832.1	PREDICTED: UDP-glycosyltransferase 72B1
XP_028116769.1	hydroquinone glucosyltransferase-like
XP_028116769.1	hypothetical protein TEA_018353
KNA14838.1	hypothetical protein SOVF_103810
TYJ08937.1	hypothetical protein E1A91_A11G106300v1
XP_012490092.1	PREDICTED: hydroquinone glucosyltransferase-like
XP_012490092.1	hypothetical protein B456_007G107100
AIZ00426.1	UDP-glycosyltransferase
XP_020413344.1	hydroquinone glucosyltransferase
XP_020413344.1	hypothetical protein PRUPE_2G184800
PON97538.1	UDP-glucuronosyl/UDP-glucosyltransferase
PON42236.1	UDP-glucuronosyl/UDP-glucosyltransferase
XP_008233208.1	PREDICTED: hydroquinone glucosyltransferase-like
XP_016692932.1	PREDICTED: hydroquinone glucosyltransferase-like
XP_016692932.1	hypothetical protein ES288_A11G109800v1
XP_016692932.1	hypothetical protein ES332_A11G108700v1
XP_027160895.1	hydroquinone glucosyltransferase-like
TYG44623.1	hypothetical protein ES288_D11G110600v1
TYG44623.1	hypothetical protein E1A91_D11G108100v1
TYG44623.1	hypothetical protein ES319_D11G105100v1
XP_021808014.1	hydroquinone glucosyltransferase-like
XP_010456210.1	PREDICTED: UDP-glycosyltransferase 72B1-like
TXG63001.1	hypothetical protein EZV62_009995
XP_017630967.1	PREDICTED: hydroquinone glucosyltransferase-like
TYH43150.1	hypothetical protein ES332_D11G108600v1
XP_002301402.2	hydroquinone glucosyltransferase
XP_002301402.2	hypothetical protein POPTR_002G168600
XP_016710038.1	PREDICTED: hydroquinone glucosyltransferase-like
VVA23740.1	PREDICTED: hydroquinone glucosyltransferase
XP_021748862.1	hydroquinone glucosyltransferase-like
XP_022035740.1	hydroquinone glucosyltransferase-like
XP_022035740.1	putative UDP-glucuronosyl/UDP-glucosyltransferase
XP_024992826.1	hydroquinone glucosyltransferase-like
XP_024992826.1	UDP-glucuronosyl/UDP-glucosyltransferase
