runtime_id,fa_id,soluble
0,KRT63717.1,0.3215
1,OFW71227.1,0.355
2,OGO51743.1,0.3763
3,OGO54300.1,0.3894
4,OGO58469.1,0.4014
5,PZN33859.1,0.3207
6,RKQ91973.1,0.5037
7,RLB49236.1,0.4585
8,RPH36389.1,0.3512
9,RTL06757.1,0.3522
10,SDE49727.1,0.3332
11,TAJ99637.1,0.374
0,TAL12192.1,0.3545
1,TMB50071.1,0.5571
2,TME11614.1,0.2652
3,TMJ95515.1,0.3061
4,TMM37446.1,0.3759
5,TRZ72738.1,0.4921
6,TRZ74379.1,0.4718
7,TXH30435.1,0.4069
8,WP_011755084.1,0.3351
9,WP_013491024.1,0.4594
10,WP_034802366.1,0.477
11,WP_035391895.1,0.4124
0,WP_048697396.1,0.2943
1,WP_050349098.1,0.4099
2,WP_056676524.1,0.3229
3,WP_091040509.1,0.3387
4,WP_091046920.1,0.3617
5,WP_106363755.1,0.4162
6,WP_109505384.1,0.4493
7,WP_112135763.1,0.445
8,WP_121253058.1,0.5046
9,WP_125248460.1,0.2761
