ALTERNATIVEACC	GI	PRIMARYACC	TAXID
A0A067YB04.1	1179881465	A0A067YB04.1	3893
A0A067YBQ3.1	1179881464	A0A067YBQ3.1	3893
AAB36652.1	1685003	NP_001312061.1	4097
AAB36653.1	1685005	NP_001313106.1	4097
AAB61023.1	2191136	AAB61023.1	3702
AAC00570.1	2829862	UGT74B1_S187	3702
AAC26233.1	3319344	At_72E3_S38	3702
AAF61647.1	7385017	NP_001312643.1	4097
AAF97321.1	9665137	At_72B3_S42	3702
AAK25972.1	13430700	At_72B1_S3	3702
AAK28303.1	13492674	Q9AT54.1	4097
AAK28304.1	13492676	AAK28304.1	4097
AAK62453.1	14423542	UGT74B1_S187	3702
AAK64133.1	14532902	At_72B1_S3	3702
AAK83619.1	15146272	NP_566938.1	3702
AAL09350.1	15824451	AAL09350.1	3708
AAL32714.1	17065120	At_72E2_S4	3702
AAL47362.1	17978737	At_72E2_S4	3702
AAM61455.1	21537114	At_72B1_S3	3702
AAN65047.1	24899665	UGT74B1_S187	3702
AAR06917.1	37993663	Q6VAA9.1	55670
AAR06919.1	37993667	Sr_88B1_S94	55670
AAS94329.1	46430995	AAS94329.1	161934
AAT47017.1	48843758	Os_72F1_S86	39947
AAU43952.1	52353384	XP_015637646.1	39947
AAU43961.1	52353393	XP_015639821.1	39947
AAU44065.1	52353499	XP_015637646.1	39947
AAU90060.1	53749150	NP_566938.1	3702
AAZ15016.1	70906784	AAZ15016.1	51351
ABA94713.1	77551916	XP_015617717.1	39947
ABK95289.1	118486910	ABK95289.1	3694
ABL85471.2	1104378314	ABL85471.2	3496
ABL85472.1	119640480	ABL85472.1	3496
ABO38789.1	133778898	At_72E3_S38	3702
ABP88123.1	145651796	At_72B3_S42	3702
ABV68925.1	157734205	ABV68925.1	3755
ACB56923.1	171906252	ACB56923.1	221204
ACB56924.1	171906254	ACB56924.1	221204
ACB56925.1	171906256	ACB56925.1	221204
ACB59204.1	171921106	XP_013585978.1	3712
ACD03252.1	187373036	UGT88C4_S124	38783
ACD87062.1	189308440	ACD87062.1	265354
ACF78764.1	194689360	Zm_72068_S106	4577
ACF81133.1	194694098	Zm_43295_S98	4577
ACF83865.1	194699562	ACF83865.1	4577
ACF84281.1	194700394	ACF84281.1	4577
ACF85123.1	194702078	Zm_72068_S106	4577
ACF88367.1	194708566	ACF88367.1	4577
ACG27618.1	195611576	Zm_85854_S107	4577
ACG27777.1	195611894	ACG27777.1	4577
ACG27865.1	195612070	ACG27865.1	4577
ACG28449.1	195613238	ACG28449.1	4577
ACG30396.1	195617132	ACG30396.1	4577
ACG32073.1	195620486	NP_001148567.1	4577
ACG34842.1	195626024	Zm_58314_S101	4577
ACG35528.1	195627396	ACG35528.1	4577
ACG45204.1	195651473	Zm_43295_S98	4577
ACJ72159.1	216296852	ACJ72159.1	3893
ACJ84649.1	217072578	ACJ84649.1	3880
ACJ85806.1	217074892	ACJ85806.1	3880
ACL53205.1	219885661	NP_001335896.1	4577
ACM09899.2	254920286	ACM09899.2	126910
ACN25703.1	223943239	Zm_51683_S99	4577
ACN27031.1	223945895	Zm_11344_S96	4577
ACN31956.1	223975537	Zm_56026_S100	4577
ACO44747.1	226316457	ACO44747.1	126910
ACR10262.1	237682426	XP_009115475.1	51351
ACS87993.1	242199344	XP_006469356.1	2711
ACV87307.2	288558799	ACV87307.2	3696
ADG65641.1	296012006	ADG65641.1	126910
ADI33725.1	297342387	Sl_GT5_S92	4081
ADL67595.1	302777000	ADL67595.1	118781
ADL67596.1	302777004	ADL67596.1	118781
ADL67597.1	302777006	ADL67597.1	118781
ADL67598.1	302777008	ADL67598.1	118781
ADN34176.1	307136362	XP_008437921.1	412675
ADO33118.1	308513350	ADO33118.1	396367
ADV71360.1	319759248	ADV71360.1	3893
ADV71371.1	319759270	ADV71371.1	3893
ADW54462.1	321120954	ADW54462.1	3715
AEB61489.1	328909629	AEB61489.1	565971
AEC11050.1	330318780	AEC11050.1	4442
AED93550.1	332006167	At_72E3_S38	3702
AED98252.1	332010869	At_72E2_S4	3702
AEE27284.1	332189163	At_72B3_S42	3702
AEE30478.1	332192357	UGT74B1_S187	3702
AEE78703.1	332645182	NP_566938.1	3702
AEE81977.1	332656577	At_72B1_S3	3702
AEE86699.1	332661299	NP_195395.4	3702
AEM43000.1	343466213	AEM43000.1	190515
AEM43001.1	343466215	AEM43001.1	190515
AEO45781.1	346682865	G3FIN8.1	3983
AEO45782.1	346682867	G3FIN9.1	3983
AES71579.1	355490376	XP_003601328.1	3880
AES71958.1	355490755	XP_003601707.1	3880
AES82774.1	355501571	XP_003626556.1	3880
AES90646.1	355509504	AES90646.1	3880
AES94896.1	355513273	AES94896.1	3880
AES96307.2	657384581	AES96307.2	3880
AES96309.1	355514686	XP_003613351.1	3880
AES98096.1	355516473	XP_003615138.1	3880
AET01253.1	355520799	AET01253.1	3880
AFI71901.1	385718969	AFI71901.1	35924
AFJ52916.1	387135070	AFJ52916.1	4006
AFJ52917.1	387135072	AFJ52917.1	4006
AFJ52918.1	387135074	AFJ52918.1	4006
AFJ52919.1	387135076	Lu_72M2_S80	4006
AFJ52920.1	387135078	AFJ52920.1	4006
AFJ52921.1	387135080	AFJ52921.1	4006
AFJ52922.1	387135082	AFJ52922.1	4006
AFJ52926.1	387135090	AFJ52926.1	4006
AFJ52927.1	387135092	AFJ52927.1	4006
AFJ52928.1	387135094	AFJ52928.1	4006
AFJ52945.1	387135128	AFJ52945.1	4006
AFJ52946.1	387135130	AFJ52946.1	4006
AFJ52947.1	387135132	AFJ52947.1	4006
AFJ52950.1	387135138	AFJ52950.1	4006
AFJ52952.1	387135142	AFJ52952.1	4006
AFJ52995.1	387135228	AFJ52995.1	4006
AFJ52996.1	387135230	AFJ52996.1_S193	4006
AFJ52997.1	387135232	AFJ52997.1	4006
AFJ53006.1	387135250	AFJ53006.1	4006
AFJ53020.1	387135278	AFJ53020.1	4006
AFJ53021.1	387135280	Lu_88G1_S82	4006
AFK34769.1	388493406	AFK34769.1	34305
AFK36738.1	388497344	AFK36738.1	3880
AFK37311.1	388498490	AFK37311.1	3880
AFK49009.1	388521895	ACJ85806.1	3880
