Pt_UGT1_S1	5NLM_A;5NLM_B
At_72B1_S3	2VCE_A;2VCH_A;2VG8_A
TcCGT1_S140	6JTD_A;6JTD_B
2PQ6_A	2PQ6_A
5V2K_A	5V2K_A;5V2K_B
5U6N_A	5U6N_A;5U6N_B;5V2J_A;5V2J_B
At_74F2_S24	5U6M_A;5U6M_B;5U6S_A;5U6S_B
