At_72B1_S1	UDP-Glycosyltransferase superfamily protein
At_72B1_S1	RecName: Full=UDP-glycosyltransferase 72B1; AltName: Full=Arbutin synthase; AltName: Full=Probable hydroquinone glucosyltransferase
At_72B1_S1	Chain A, Characterization And Engineering Of The Bifunctional N- And O-glucosyltransferase Involved In Xenobiotic Metabolism In Plants
At_72B1_S1	Chain A, Characterization And Engineering Of The Bifunctional N- And O-Glucosyltransferase Involved In Xenobiotic Metabolism In Plants
At_72B1_S1	putative flavonol glucosyltransferase
At_72B1_S1	glycosyltransferase, partial
OAP00532.1	UGT72B1
XP_002872912.1	UDP-glycosyltransferase 72B1
XP_002872912.1	UDP-glucoronosyl/UDP-glucosyl transferase family protein
AAB61023.1	Similar to UTP-Glucose Glucosyltransferase; coded for by A. thaliana cDNA T46230; coded for by A. thaliana cDNA H76538; coded for by A. thaliana cDNA H76290
XP_010427832.1	PREDICTED: UDP-glycosyltransferase 72B1
XP_010456210.1	PREDICTED: UDP-glycosyltransferase 72B1-like
ESQ37758.1	hypothetical protein EUTSA_v10028623mg
BAJ34074.1	unnamed protein product
XP_006396305.2	UDP-glycosyltransferase 72B1
XP_006290216.1	UDP-glycosyltransferase 72B1
XP_006290216.1	hypothetical protein CARUB_v10003907mg
VVB06869.1	unnamed protein product
KFK30683.1	hypothetical protein AALP_AA6G014400
XP_013718524.1	UDP-glycosyltransferase 72B1-like
VDD23942.1	unnamed protein product
RID75502.1	hypothetical protein BRARA_B02542
XP_009128506.1	PREDICTED: UDP-glycosyltransferase 72B1-like
XP_009128506.1	unnamed protein product
XP_013621576.1	PREDICTED: UDP-glycosyltransferase 72B1-like
NP_001302991.1	UDP-glycosyltransferase 72B1-like
NP_001302991.1	glucosyltransferase
XP_018448007.1	PREDICTED: LOW QUALITY PROTEIN: UDP-glycosyltransferase 72B1-like
XP_009128501.1	PREDICTED: UDP-glycosyltransferase 72B1-like
XP_009128501.1	UDP-glycosyltransferase 72B1-like
XP_009128501.1	hypothetical protein BRARA_B02545
XP_009128501.1	unnamed protein product
VDD23940.1	unnamed protein product
XP_013619549.1	PREDICTED: UDP-glycosyltransferase 72B1-like
XP_013622316.1	PREDICTED: UDP-glycosyltransferase 72B1-like
XP_013718503.1	UDP-glycosyltransferase 72B1-like
XP_013684345.1	UDP-glycosyltransferase 72B1-like
XP_009134508.1	PREDICTED: UDP-glycosyltransferase 72B1-like
XP_009134508.1	UDP-glycosyltransferase 72B1-like
VDC81140.1	unnamed protein product
RQL82217.1	hypothetical protein DY000_00008220
RID70902.1	hypothetical protein BRARA_C02877
VDD27695.1	unnamed protein product
RID43193.1	hypothetical protein BRARA_I00068
XP_013660542.1	UDP-glycosyltransferase 72B1
XP_009111416.1	PREDICTED: UDP-glycosyltransferase 72B1
XP_009111416.1	unnamed protein product
XP_018452323.1	PREDICTED: UDP-glycosyltransferase 72B1
XP_018473411.1	PREDICTED: UDP-glycosyltransferase 72B1-like
XP_013613035.1	PREDICTED: UDP-glycosyltransferase 72B1
XP_018466826.1	PREDICTED: UDP-glycosyltransferase 72B1-like
XP_019100747.1	PREDICTED: UDP-glycosyltransferase 72B1-like
XP_006418419.1	UDP-glycosyltransferase 72B3
XP_006418419.1	hypothetical protein EUTSA_v10010005mg
RID39975.1	hypothetical protein BRARA_J00050
XP_013666324.1	UDP-glycosyltransferase 72B3
XP_009119690.1	PREDICTED: UDP-glycosyltransferase 72B3
VDD16621.1	unnamed protein product
OAP17404.1	UGT72B3
NP_001322549.1	UDP-glucosyl transferase 72B3
XP_013638593.1	PREDICTED: UDP-glycosyltransferase 72B3
NP_171649.1	UDP-glucosyl transferase 72B3
NP_171649.1	RecName: Full=UDP-glycosyltransferase 72B3
NP_171649.1	Similar to UTP-glucose glucosyltransferases
NP_171649.1	At1g01420
NP_171649.1	glycosyltransferase, partial
XP_013693709.1	UDP-glycosyltransferase 72B3
XP_013693709.1	BnaC05g00580D
XP_010457132.1	PREDICTED: UDP-glycosyltransferase 72B2
VVA89659.1	unnamed protein product
BAD43267.1	putative flavonol 3-o-glucosyltransferase, partial
XP_020870180.1	UDP-glycosyltransferase 72B2
XP_020870180.1	UDP-glucoronosyl/UDP-glucosyl transferase family protein
XP_019059663.1	PREDICTED: UDP-glycosyltransferase 72B1-like isoform X2
