2C1X_A	2C1X_A;2C1Z_A;2C9Z_A
OleD_S5	4M83_A;4M83_B
2IYF_A	2IYF_A;2IYF_B
2P6P_A	2P6P_A;2P6P_B
2IYA_A	2IYA_A;2IYA_B
