At_74F2_S1	UDP-glucosyltransferase 74F2
At_74F2_S1	RecName: Full=UDP-glycosyltransferase 74F2; AltName: Full=AtSGT1; AltName: Full=Salicylic acid glucosyltransferase 1
At_74F2_S1	Chain A, Crystal Structure Of Udp-glucosyltransferase, Ugt74f2, With Udp And Salicylic Acid
At_74F2_S1	Chain B, Crystal Structure Of Udp-glucosyltransferase, Ugt74f2, With Udp And Salicylic Acid
At_74F2_S1	Chain A, Crystal Structure Of Udp-glucosyltransferase, Ugt74f2, With Udp And 2- Bromobenzoic Acid
At_74F2_S1	Chain B, Crystal Structure Of Udp-glucosyltransferase, Ugt74f2, With Udp And 2- Bromobenzoic Acid
At_74F2_S1	putative glucosyltransferase
At_74F2_S1	At2g43820
At_74F2_S1	pathogen-inducible salicylic acid glucosyltransferase
At_74F2_S1	glycosyltransferase, partial
At_74F2_S1	UGT74F2
5U6N_A	Chain A, Crystal Structure Of Udp-glucosyltransferase, Ugt74f2 (t15s), With Udp And Salicylic Acid
5U6N_A	Chain B, Crystal Structure Of Udp-glucosyltransferase, Ugt74f2 (t15s), With Udp And Salicylic Acid
5U6N_A	Chain A, Crystal Structure Of Udp-glucosyltransferase, Ugt74f2 (t15s), With Udp And 2-bromobenzoic Acid
5U6N_A	Chain B, Crystal Structure Of Udp-glucosyltransferase, Ugt74f2 (t15s), With Udp And 2-bromobenzoic Acid
5V2K_A	Chain A, Crystal Structure Of Udp-glucosyltransferase, Ugt74f2 (t15a), With Udp And 2-bromobenzoic Acid
5V2K_A	Chain B, Crystal Structure Of Udp-glucosyltransferase, Ugt74f2 (t15a), With Udp And 2-bromobenzoic Acid
XP_020883245.1	UDP-glycosyltransferase 74F2 isoform X1
XP_020883245.1	UDP-glucosyltransferase 74F2
XP_006294206.1	UDP-glycosyltransferase 74F2
XP_006294206.1	hypothetical protein CARUB_v10023202mg
XP_019101195.1	PREDICTED: UDP-glycosyltransferase 74F2-like
XP_010506285.1	PREDICTED: UDP-glycosyltransferase 74F2
AVW82180.1	putative UDP-glucosyltransferase UGT74F5
XP_010517962.1	PREDICTED: UDP-glycosyltransferase 74F2-like
XP_010506284.1	PREDICTED: UDP-glycosyltransferase 74F2-like
XP_006397555.1	UDP-glycosyltransferase 74F2
XP_006397555.1	hypothetical protein EUTSA_v10001440mg
VDD04632.1	unnamed protein product
XP_013744361.1	UDP-glycosyltransferase 74F2
XP_013744361.1	BnaC04g03110D
XP_006295749.1	UDP-glycosyltransferase 74F2
XP_006295749.1	hypothetical protein CARUB_v10024869mg
XP_013632185.1	PREDICTED: UDP-glycosyltransferase 74F2-like
AVW82183.1	putative UDP-glucosyltransferase UGT74F3
XP_018436586.1	PREDICTED: UDP-glycosyltransferase 74F2-like
XP_009142974.1	PREDICTED: UDP-glycosyltransferase 74F2
XP_009142974.1	UDP-glycosyltransferase 74F2
RID61217.1	hypothetical protein BRARA_E00384
VVB03291.1	unnamed protein product
VDC69675.1	unnamed protein product
KFK37203.1	hypothetical protein AALP_AA4G227600
XP_013683852.1	UDP-glycosyltransferase 74F2
XP_013683852.1	BnaC03g72710D
XP_013630369.1	PREDICTED: UDP-glycosyltransferase 74F2-like
RQL80009.1	hypothetical protein DY000_00005962
VDC90299.1	unnamed protein product
KFK37204.1	hypothetical protein AALP_AA4G227700
XP_009133637.1	PREDICTED: UDP-glycosyltransferase 74F2-like
CDY64614.1	BnaAnng19440D
VDC80442.1	unnamed protein product
XP_013734745.1	UDP-glycosyltransferase 74F2-like
RID70189.1	hypothetical protein BRARA_C02227
RID70189.1	unnamed protein product
AVW82182.1	putative UDP-glucosyltransferase UGT74F4
VVB03292.1	unnamed protein product
XP_018456347.1	PREDICTED: UDP-glycosyltransferase 74F2-like
XP_006397556.1	UDP-glycosyltransferase 74F1
XP_006397556.1	hypothetical protein EUTSA_v10001441mg
VDC80443.1	unnamed protein product
CDY64613.1	BnaAnng19430D
CDY64613.1	hypothetical protein BRARA_C02231
XP_018474924.1	PREDICTED: UDP-glycosyltransferase 74F2-like
KFK37205.1	hypothetical protein AALP_AA4G227800
NP_181912.1	UDP-glycosyltransferase 74 F1
NP_181912.1	RecName: Full=Flavonol 7-O-beta-glucosyltransferase UGT74F1; AltName: Full=UDP-glycosyltransferase 74F1
NP_181912.1	putative glucosyltransferase
NP_181912.1	glycosyltransferase, partial
NP_181912.1	UGT74F1
XP_009133642.1	PREDICTED: UDP-glycosyltransferase 74F2-like
NP_973682.1	UDP-glycosyltransferase 74 F1
XP_013623541.1	PREDICTED: UDP-glycosyltransferase 74F2-like
RQM04224.1	hypothetical protein DY000_00030751, partial
XP_006296149.1	UDP-glycosyltransferase 74F1
XP_006296149.1	hypothetical protein CARUB_v10025301mg
XP_020883244.1	UDP-glycosyltransferase 74F1
XP_020883244.1	UDP-glucoronosyl/UDP-glucosyl transferase family protein
XP_010506287.1	PREDICTED: UDP-glycosyltransferase 74F1 isoform X1
XP_010506287.1	PREDICTED: UDP-glycosyltransferase 74F1 isoform X2
XP_009133636.1	PREDICTED: UDP-glycosyltransferase 74F2-like
XP_013632296.1	PREDICTED: UDP-glycosyltransferase 74F1
XP_013632296.1	UDP-glycosyltransferase 74F1 isoform X2
XP_013632296.1	BnaC04g03120D
XP_013632296.1	unnamed protein product
VDC90301.1	unnamed protein product
XP_010508369.1	PREDICTED: UDP-glycosyltransferase 74F1-like
VDC90295.1	unnamed protein product
XP_022557928.1	UDP-glycosyltransferase 74F1 isoform X1
XP_013656008.1	UDP-glycosyltransferase 74F1
XP_013656008.1	unnamed protein product
XP_009142972.1	PREDICTED: UDP-glycosyltransferase 74F1
RID61218.1	hypothetical protein BRARA_E00385
XP_013683854.1	UDP-glycosyltransferase 74F2-like
XP_010517963.1	PREDICTED: UDP-glycosyltransferase 74F1-like
BAD95102.1	putative glucosyltransferase, partial
CDY44260.1	BnaC03g24520D
XP_013627641.1	PREDICTED: UDP-glycosyltransferase 74F2-like
XP_018434677.1	PREDICTED: UDP-glycosyltransferase 74F1
XP_010522253.1	PREDICTED: UDP-glycosyltransferase 74F2-like
RIA04248.1	hypothetical protein BRARA_K01530
XP_010524193.1	PREDICTED: UDP-glycosyltransferase 74F2-like
