At_72B1_S1	2VCE_A;2VCH_A;2VG8_A
5NLM_A	5NLM_A;5NLM_B
2PQ6_A	2PQ6_A
OleD_S11	4M83_A;4M83_B
2IYF_A	2IYF_A;2IYF_B
2P6P_A	2P6P_A;2P6P_B
2IYA_A	2IYA_A;2IYA_B
