At_74F2_S1	5U6M_A;5U6M_B;5U6S_A;5U6S_B
5U6N_A	5U6N_A;5U6N_B;5V2J_A;5V2J_B
5V2K_A	5V2K_A;5V2K_B
OleD_S2	4M83_A;4M83_B
2IYF_A	2IYF_A;2IYF_B
2IYA_A	2IYA_A;2IYA_B
2PQ6_A	2PQ6_A
